,name,price,price_m2,m2,rooms,floor,map,url
51,Mieszkanie z ogródkiem 3 pokoje 2 miejsca garaż i parking dwie komórki,830000,12769.23,65,3,Parter,"Warszawa, Ursus",https://www.olx.pl/d/oferta/mieszkanie-z-ogrodkiem-3-pokoje-2-miejsca-garaz-i-parking-dwie-komorki-CID3-IDMUgOX.html
52,"Czteropokojowe mieszkanie - Al. Reymonta, Bielany",840000,14736.84,57,4,3,"Warszawa, Bielany",https://www.olx.pl/d/oferta/czteropokojowe-mieszkanie-al-reymonta-bielany-CID3-IDOYhvO.html
53,Kawalerka do własnej aranżacji Rembertów,279000,9082.03,30.72,1,Parter,"Warszawa, Rembertów",https://www.olx.pl/d/oferta/kawalerka-do-wlasnej-aranzacji-rembertow-CID3-IDM7KGH.html
54,Mieszkanie dwupoziomowe w spokojnej okolicy,699000,8083.73,86.47,4,4,"Warszawa, Włochy",https://www.olx.pl/d/oferta/mieszkanie-dwupoziomowe-w-spokojnej-okolicy-CID3-IDOYgBS.html
55,Luksusowe 30 m2 kamienica przy Polach Mokotowskich,605000,20166.67,30,2,3,"Warszawa, Mokotów",https://www.olx.pl/d/oferta/luksusowe-30-m2-kamienica-przy-polach-mokotowskich-CID3-IDOWyiv.html
56,"Rodzinny Apartament, 4 pokoje, 2 x Garaż, 4 parki",1480000,13703.7,108,4,1,"Warszawa, Mokotów",https://www.olx.pl/d/oferta/rodzinny-apartament-4-pokoje-2-x-garaz-4-parki-CID3-IDOXnoU.html
57,"Na sprzedaż mieszkanie - małe 2 pokoje Bielany (metro), bez prowizji!",449000,12828.57,35,2,4,"Warszawa, Bielany",https://www.olx.pl/d/oferta/na-sprzedaz-mieszkanie-male-2-pokoje-bielany-metro-bez-prowizji-CID3-IDO6RvC.html
58,"Kawalerka, Żoliborz, Wojska Polskiego, 26,5m2",399000,15056.6,26.50,1,8,"Warszawa, Żoliborz",https://www.olx.pl/d/oferta/kawalerka-zoliborz-wojska-polskiego-26-5m2-CID3-IDOpMHe.html
59,"Sprzedam dwa pokoje, 27,5 m2, na ul. Chłodnej",419000,15236.36,27.50,2,2,"Warszawa, Śródmieście",https://www.olx.pl/d/oferta/sprzedam-dwa-pokoje-27-5-m2-na-ul-chlodnej-CID3-IDODBMc.html
60,"Sprzedam Mieszkanie 76m + 2 miejsca, bezpośrednio, ul. Magazynowa",1350000,17763.16,76,3,7,"Warszawa, Mokotów",https://www.olx.pl/d/oferta/sprzedam-mieszkanie-76m-2-miejsca-bezposrednio-ul-magazynowa-CID3-IDOMX5N.html
61,"Kawalerka po remoncie, 15 minut od centrum!",449000,14031.25,32,1,2,"Warszawa, Wola",https://www.olx.pl/d/oferta/kawalerka-po-remoncie-15-minut-od-centrum-CID3-IDOqSoW.html
62,Mieszkanie Warszawa-Wola,640000,11851.85,54,3,3,"Warszawa, Wola",https://www.olx.pl/d/oferta/mieszkanie-warszawa-wola-CID3-IDK59Fm.html
63,Mieszkanie inwestycyjne / wysoki standard / FV 23%,465000,15000,31,2,Powyżej 10,"Warszawa, Wola",https://www.olx.pl/d/oferta/mieszkanie-inwestycyjne-wysoki-standard-fv-23-CID3-IDLJrK3.html
64,"Bezpośrednio mieszkanie 33 m2 Ursynów 2 pok., 4 piętro z windą",449000,13606.06,33,2,4,"Warszawa, Ursynów",https://www.olx.pl/d/oferta/bezposrednio-mieszkanie-33-m2-ursynow-2-pok-4-pietro-z-winda-CID3-IDOjzAh.html
65,"2 pokoje, 1p. ochrona 24h, balkon, winda, garaż, blisko SKM",590000,13409.09,44,2,1,"Warszawa, Wawer",https://www.olx.pl/d/oferta/2-pokoje-1p-ochrona-24h-balkon-winda-garaz-blisko-skm-CID3-IDOkLuF.html
66,Mokotów  - cegła 2 pok- metro Wierzbno - idealne pod wynajem,595000,13522.73,44,2,6,"Warszawa, Mokotów",https://www.olx.pl/d/oferta/mokotow-cegla-2-pok-metro-wierzbno-idealne-pod-wynajem-CID3-IDNNzhA.html
67,Sprzedam mieszkanie Warszawa Bemowo,600000,12219.96,49.10,2,2,"Warszawa, Bemowo",https://www.olx.pl/d/oferta/sprzedam-mieszkanie-warszawa-bemowo-CID3-IDOMUIE.html
68,"Bezpośrednio-Warszawa ul.Lęborska, 32 m2 z ""widokiem na morze :-) """,450000,13803.68,32.60,1,Powyżej 10,"Warszawa, Praga-Północ",https://www.olx.pl/d/oferta/bezposrednio-warszawa-ul-leborska-32-m2-z-widokiem-na-morze-CID3-IDOV1nF.html
69,"2 pok Warszawa Ursus Skorosze 48,3m2 Garaż podziemny, duży balkon",560000,11594.2,48.30,2,5,"Warszawa, Ursus",https://www.olx.pl/d/oferta/2-pok-warszawa-ursus-skorosze-48-3m2-garaz-podziemny-duzy-balkon-CID3-IDOos51.html
70,Mieszkanie 2-pokojowe na sprzedaż Ursus,520000,11063.83,47,2,3,"Warszawa, Ursus",https://www.olx.pl/d/oferta/mieszkanie-2-pokojowe-na-sprzedaz-ursus-CID3-IDOYbhx.html
71,Mieszkanie na sprzedaż 3 pokoje  Bonifraterska Nowe Miasto Sródmieście,640000,16301.58,39.26,3,Parter,"Warszawa, Śródmieście",https://www.olx.pl/d/oferta/mieszkanie-na-sprzedaz-3-pokoje-bonifraterska-nowe-miasto-srodmiescie-CID3-IDOYbe2.html
72,Mieszkanie 3/4 pokoje 78 m2 Warszawa Bemowo Wola metro komórka parking,979000,12575.47,77.85,3,4,"Warszawa, Bemowo",https://www.olx.pl/d/oferta/mieszkanie-3-4-pokoje-78-m2-warszawa-bemowo-wola-metro-komorka-parking-CID3-IDOPEXM.html
73,"BEZPOŚREDNIO! 70m, Ostrobramska",759000,10842.86,70,3,7,"Warszawa, Praga-Południe",https://www.olx.pl/d/oferta/bezposrednio-70m-ostrobramska-CID3-IDOGB42.html
74,"42,4m2, Ursynów z Garażem i Piwnicą, Puszczyka 5",519500,12252.36,42.40,2,2,"Warszawa, Ursynów",https://www.olx.pl/d/oferta/42-4m2-ursynow-z-garazem-i-piwnica-puszczyka-5-CID3-IDOMNo8.html
75,"Klimatyczne, ciche i słoneczne - Starówka i Metro obok",570000,15216.23,37.46,2,3,"Warszawa, Śródmieście",https://www.olx.pl/d/oferta/klimatyczne-ciche-i-sloneczne-starowka-i-metro-obok-CID3-IDOAou0.html
76,TBS Bemowo - Odsprzedaż partycypacji,320000,7289.29,43.90,2,2,"Warszawa, Bemowo",https://www.olx.pl/d/oferta/tbs-bemowo-odsprzedaz-partycypacji-CID3-IDOzBbu.html
77,Sprzedaż mieszkania 2 pokoje,439000,10707.32,41,2,5,"Warszawa, Targówek",https://www.olx.pl/d/oferta/sprzedaz-mieszkania-2-pokoje-CID3-IDEXt0H.html
78,"Unikalny apartament w Kamienicy Brenkina, Plac Grzybowski 10",1239000,19836.7,62.46,4,2,"Warszawa, Śródmieście",https://www.olx.pl/d/oferta/unikalny-apartament-w-kamienicy-brenkina-plac-grzybowski-10-CID3-IDOjcS1.html
79,3 pokoje z ogrodem przy lesie,569000,10076.15,56.47,3,Parter,"Warszawa, Wawer",https://www.olx.pl/d/oferta/3-pokoje-z-ogrodem-przy-lesie-CID3-IDOXbEF.html
80,"Bezpośrednio, piękne mieszkanie na Pl. Hallera, ul.Jagiellońska!",589000,17848.48,33,2,5,"Warszawa, Praga-Północ",https://www.olx.pl/d/oferta/bezposrednio-piekne-mieszkanie-na-pl-hallera-ul-jagiellonska-CID3-IDOKZvK.html
81,"DOSKONAŁA lokalizacja i stan, METRO, Bezpośrednio",719000,12614.04,57,3,Parter,"Warszawa, Mokotów",https://www.olx.pl/d/oferta/doskonala-lokalizacja-i-stan-metro-bezposrednio-CID3-IDOOBuo.html
82,"Mieszkanie na sprzedaż 66,1m2, Osiedle Regaty",580000,8774.58,66.10,3,2,"Warszawa, Białołęka",https://www.olx.pl/d/oferta/mieszkanie-na-sprzedaz-66-1m2-osiedle-regaty-CID3-IDNH9QT.html
83,Klimatyczne mieszkanie doskonałe na inwestycję lub do zamieszkania,679000,15055.43,45.10,2,2,"Warszawa, Bielany",https://www.olx.pl/d/oferta/klimatyczne-mieszkanie-doskonale-na-inwestycje-lub-do-zamieszkania-CID3-IDNnJPx.html
84,"Praga Płn, ul. Skoczylasa 49m",585000,11938.78,49,2,4,"Warszawa, Praga-Północ",https://www.olx.pl/d/oferta/praga-pln-ul-skoczylasa-49m-CID3-IDO6BNQ.html
85,"REZERWACJA: Piękne mieszkanie Ursus: 3 pokoje, miejsce postojowe",690000,11500,60,3,3,"Warszawa, Ursus",https://www.olx.pl/d/oferta/rezerwacja-piekne-mieszkanie-ursus-3-pokoje-miejsce-postojowe-CID3-IDOqTRj.html
86,Mieszkanie po remoncie # 700m do METRA SŁODOWIEC #,619000,14633.57,42.30,2,4,"Warszawa, Bielany",https://www.olx.pl/d/oferta/mieszkanie-po-remoncie-700m-do-metra-slodowiec-CID3-IDOTa98.html
87,"Elegancki apartament dla wymagających - ""Atrium Promenada""",822000,14704.83,55.90,2,4,"Warszawa, Praga-Południe",https://www.olx.pl/d/oferta/elegancki-apartament-dla-wymagajacych-atrium-promenada-CID3-IDOIujo.html
88,Mieszkanie 51 m dolny Mokotów przy ul. Belwederskiej i Park Łazienki.,790000,15490.2,51,2,3,"Warszawa, Mokotów",https://www.olx.pl/d/oferta/mieszkanie-51-m-dolny-mokotow-przy-ul-belwederskiej-i-park-lazienki-CID3-IDOsYoV.html
89,Dwupak 2x kawalerka - na wynajem - Wola Młynów - inwestycja - gotowiec,289500,15236.84,19,1,Parter,"Warszawa, Wola",https://www.olx.pl/d/oferta/dwupak-2x-kawalerka-na-wynajem-wola-mlynow-inwestycja-gotowiec-CID3-IDOW7Ze.html
90,"Kawalerka, Ochota, blisko ul. Szczęśliwickiej",399000,13300,30,1,Parter,"Warszawa, Ochota",https://www.olx.pl/d/oferta/kawalerka-ochota-blisko-ul-szczesliwickiej-CID3-IDNB811.html
91,Mieszkanie 172.2 m2 Warszawa Ursynów,1670000,9698.03,172.20,4,2,"Warszawa, Ursynów",https://www.olx.pl/d/oferta/mieszkanie-172-2-m2-warszawa-ursynow-CID3-IDOWDV2.html
92,Mieszkanie 2-pokojowe Rembertów ul. Admiralska + 10m2 piwnica,400000,10000,40,2,1,"Warszawa, Rembertów",https://www.olx.pl/d/oferta/mieszkanie-2-pokojowe-rembertow-ul-admiralska-10m2-piwnica-CID3-IDOXj7i.html
93,"Mieszkanie 114 m2 z ogrodem w Międzylesiu, super rozkład!",1260000,10992.85,114.62,4,Parter,"Warszawa, Wawer",https://www.olx.pl/d/oferta/mieszkanie-114-m2-z-ogrodem-w-miedzylesiu-super-rozklad-CID3-IDOXZbN.html
94,3 pokoje_Bielany_łazienka z oknem_balkon_piwnica,540000,11134.02,48.50,3,2,"Warszawa, Bielany",https://www.olx.pl/d/oferta/3-pokoje-bielany-lazienka-z-oknem-balkon-piwnica-CID3-IDOXYhM.html
95,"Mieszkania Warszawa Ursynów 65m2 -115m2, ogródek, 2 miejsca postojowe.",599000,9215.38,65,3,Parter,"Warszawa, Ursynów",https://www.olx.pl/d/oferta/mieszkania-warszawa-ursynow-65m2-115m2-ogrodek-2-miejsca-postojowe-CID3-IDOoJy6.html
96,Narożne mieszkanie 3pok. na Służewcu z widokiem na panoramę Wwa,599000,11980,50,3,10,"Warszawa, Mokotów",https://www.olx.pl/d/oferta/narozne-mieszkanie-3pok-na-sluzewcu-z-widokiem-na-panorame-wwa-CID3-IDOazAa.html
97,"Mokotów k/metro Wierzbno kawalerka 25,1 m cena 389 000",389000,15498.01,25.10,1,3,"Warszawa, Mokotów",https://www.olx.pl/d/oferta/mokotow-k-metro-wierzbno-kawalerka-25-1-m-cena-389-000-CID3-IDOT5PX.html
98,Mieszkanie  Grochów 56 m2,649000,11589.29,56,3,2,"Warszawa, Praga-Południe",https://www.olx.pl/d/oferta/mieszkanie-grochow-56-m2-CID3-IDN1n2w.html
99,"Mieszkanie Białołęka, Grzymalitów",550000,10576.92,52,3,3,"Warszawa, Białołęka",https://www.olx.pl/d/oferta/mieszkanie-bialoleka-grzymalitow-CID3-IDNN7tI.html
